image_src,title,caption,photographer,tags,category,prize
000135.jpg,,"Hokkaido straddles the intersection between the North American and Eurasian tectonic plates and is part of the Pacific Ring of Fire, the tectonic region that encircles the Pacific ocean. The tectonic activity in the region gives birth to numerous volcanoes. Mt Yotei, shown here, is a stratovolcano, meaning that it was formed by many layers of lava, pumice, and ash. If it looks familiar, that could be because New Zealand lies along the southern edge of the Pacific Ring of Fire, and is home to many stratovolcanoes, such as Mt Ruapehu.",Andy Soundy,amateur,Adult Amateur,
000136.jpg,,"Abashiri, Japan, sits at a latitude of 44° 1′N, which is about as far north as Timaru is south. However, during the winter cold air from over Sibera follows tradewinds southwest over northern Japan. This pattern of winter airflow from Sibera makes Abashiri the closest place to the equator where drift ice is regularly seen.",Andy Soundy,amateur,Adult Amateur,Most Interesting Science
000137.jpeg,,"Dunedin is a Monet. <br /> Still reflections capture the scattering of the light rays The colors of the sunrise result from a phenomenon called scattering. Molecules and small particles in the atmosphere change the direction of light rays, causing them to scatter.  The details are determined by the wavelength of the light and the size of the particle.",Sophie Barker,amateur,Adult Amateur,
000138.jpeg,,"A stunning Dunedin sunrise.<br /> The colors of the sunrise result from a phenomenon called scattering. Molecules and small particles in the atmosphere change the direction of light rays, causing them to scatter. Scattering affects the color of light coming from the sky, but the details are determined by the wavelength of the light and the size of the particle.",Sophie Barker,amateur,Adult Amateur,
000139.jpeg,,"Sunrise at the Molars. The colors of the sunrise result from a phenomenon called scattering. Molecules and small particles in the atmosphere change the direction of light rays, causing them to scatter. Scattering affects the color of light coming from the sky, but the details are determined by the wavelength of the light and the size of the particle.",Sophie Barker,amateur,Adult Amateur,
000140.jpeg,,"Dunedin is a Monet. <br /> Still reflections capture the scattering of the light rays The colors of the sunrise result from a phenomenon called scattering. Molecules and small particles in the atmosphere change the direction of light rays, causing them to scatter.  The details are determined by the wavelength of the light and the size of the particle.",Sophie Barker,amateur,Adult Amateur,
000141.jpeg,,"A stunning Dunedin sunrise.<br /> The colors of the sunrise result from a phenomenon called scattering. Molecules and small particles in the atmosphere change the direction of light rays, causing them to scatter. Scattering affects the color of light coming from the sky, but the details are determined by the wavelength of the light and the size of the particle.",Sophie Barker,amateur,Adult Amateur,
000142.jpeg,,"Sunrise at the Molars. The colors of the sunrise result from a phenomenon called scattering. Molecules and small particles in the atmosphere change the direction of light rays, causing them to scatter. Scattering affects the color of light coming from the sky, but the details are determined by the wavelength of the light and the size of the particle.",Sophie Barker,amateur,Adult Amateur,
000143.jpg,,"The Milky Way galaxy looks like a band of white light in the night sky, because of the light from many unresolved stars within our disc-shaped galaxy. The dark areas in the band are due to interstellar dust blocking light. A recently published research paper has shown that, ""the Milky Way is hidden from more than one-third of humanity"" (Falchi et al., 2016), because of light pollution.",Nanako Shitara,amateur,Adult Amateur,
000144.jpg,,"The aurora australis can occasionally be seen in southern skies. They are caused by the interactions between charged particles from the sun, and air molecules in the Earth's atmosphere. Molecules in the atmosphere become excited, and when they 'jump' back down into their ground state, they emit a photon, causing the glow.",Nanako Shitara,amateur,Adult Amateur,
000145.jpeg,,"This photo was taken at Tunnel Beach in Dunedin. The cliffs are made of sandstone, a sedimentary rock built up by years and years of sediment being laid down and compacted. The coloured bands you can see in the rock are caused by the different materials which make it up. They are very smooth because of their exposure to the wind and waves, which gradually erode them and destroy the sharp edges. Because sandstone is a relatively soft rock, it was easy for the tunnel which gives the beach its name to be built into one of the cliffs. ",Joel Labes,amateur,Adult Amateur,
000146.jpg,,"Waves are formed by the effect of wind on water.  The size of the wave is determined by the strength of the wind, and the distance over the water, that the wind has been blowing: known as the fetch.  Once formed however, waves can travel great distances, so that when they finally reach the shallow waters of a shoreline and start to break, they may be in an area where the wind is blowing in the opposite direction to the waves travel. In this situation if the wind is strong enough, we get spindrift.",Allan Cox,pro winner,Adult Professional,"First Place, Professionals"
000147.jpg,,"When we gaze at the stars, in a sense we are time traveling. We are looking back in time.  We are sometimes looking at light that left the stars thousands, or even millions, of years ago.",Allan Cox,pro,Adult Professional,
000148.jpg,,"Crepuscular rays are call this because we are most likely to see them in the early morning or late evening.  This time of the day is referred to as crepuscular, just as animals like rabbits that predominately come out at this time are called crepuscular creatures.",Allan Cox,pro,Adult Professional,
000149.jpg,,Photo taken on Samsung Galaxy 7 cellphone at approx 7.32am 20 June 2016 as sun was beginning to colour sky and dawn was breaking.,Diane McKenzie,amateur,Adult Amateur,
000150.jpg,,"how tall was a sauropod?<br /> In my visit to Tyrell museum Drumheller, AB, Canada came across a wall which allowed you to measure yourself against the leg bone of an average, medium-sized sauropod. I realized Sauropods belong to a group includes the largest animals to have ever lived on land!",Amin Shavandi,amateur,Adult Amateur,
000151.jpg,,"Hoodoos in Drumheller, Alberta, Canada<br /> Hoodoo or tent rock is a tall, thin spire of rock and range from 1.5 to 45 metres. They generally form within sedimentary rock and volcanic rock formations. I realized that they are affected by erosion patterns and getting shorter and changing shape over time <br /> ",Amin Shavandi,amateur,Adult Amateur,
000152.jpg,,"Silhouette at the beach<br /> Bandar Anzali, North of Iran<br /> Human in this image are in silhouette, and appears dark against a lighter background. The interior of a silhouette is featureless, and the whole is typically presented on a light background.<br /> ",Amin Shavandi,amateur,Adult Amateur,
000153.jpg,,"A Sun in love - Heart shaped Sunspot, April 2016.<br /> Sunspots are darker, cooler areas on the surface of the sun in a region called the photosphere. Altough very hot, sunspots look dark only in comparison with the brighter and hotter regions of the photosphere around them.<br /> Sunspots can be very large, up to a few times the diameter of Earth! They are caused by interactions with the Sun's magnetic field which are not fully understood. But a sunspot is somewhat like the cap on a soda bottle: shake it up, and you can generate a big eruption. Sunspots occur over regions of intense magnetic activity, and when that energy is released, solar flares and big storms called coronal mass ejections erupt from sunspots. Sunspots are a more frequent sight on our Sun during the years around solar maximum in a 11 years cycle.",Eyal schwartz,amateur,Adult Amateur,
000154.JPG,,"In this photo there is a single 'Cumulus Cloud' that looks like it is floating over Stewart Island in the distance. Cumulus Clouds are often white and puffy looking and usually have a flat base, much like this one. They are also usually found by themselves, in clusters or even in lines. This type of cloud is formed when warm air from the surface/ground rises carrying water vapor which then meet by colder air. This causes the water vapor to become colder and condense to form a cloud. These type of clouds hardly precipitate at all but can grow into bigger and different kinds of 'rain clouds'. This photo was taken in Fiordland National Park on the Humpridge track at a place called Luncheon Rock.",Kasey Short,youth winner,Youth,"Second Place, Teens"
000155.jpeg,,We drive to Milton once a week and I loved the colour of the sky this week. The weather was fine and so it was very clear. The sky is reflected in lake Waihola. At school we did an experiment with light and particles and learned that blue light refracts more so the sky is blue. At sunset though you can see the red light because the sun is lower and the red is refracted less and the blue rays are blocked by the Earth. I got my mum to stop the car and took the photo on my phone.,Keegan Hall,youth,Youth,
000156.jpg,,"The beautiful patterns in this pool of water taken at Mt Somers, South Canterbury were partially formed by impurities in the water that may have lead to a super cooling effect, causing the formation of dendritic ice seen in the irregular patterns that have been formed on the surface. Another factor may be the effect of super cooling, as the water releases it’s heat in a non-linear fashion contributing to the formation of ice crystallisation within the water. As the crystal migrates into regions with different environmental conditions, this may cause a change in the growth patterns of the ice, thus plates and needles have formed in the surface of the ice. This effect combined with the curved solid surfaces of the rocks and the solid liquid surface tension and local curvature contribute to the beautiful patterns formed in this pool.",Andrew Ginther,amateur winner,Adult Amateur,"Third Place, Amateurs"
000157.JPG,,"Lady Over Troubled Waters. This image reflects the scientific process of photosynthesis, which involves earth, space and weather. The process of photosynthesis is used by plants and other organisms to convert the energy of light that is usually sourced from the sun, into chemical energy that can be later released to fuel the organisms' activities.  This chemical energy is stored in carbohydrate molecules which are synthesized from carbon dioxide and water. This is relevant to this image because the earth surrounding the lady in the image, requires this process for sustenance. The message of my image is that the world has become so caught up in the plastic (relative to the lady in the image), artificial business that our society has developed; and that it is important to appreciate the natural earth.",Bryn Monk,youth winner,Youth,Most Original
000158.jpg,,"Quietly the time slips by<br /> The mountains softly whisper<br /> And there without a crowd around<br /> An everlasting Vista<br /> by Karina Fay<br /> ""Snow awaits on mountain tops, across the lake we see""  Lake Wanaka, New Zealand - June 2016",Karina Fay,amateur,Adult Amateur,
000159.jpg,,Panoramic shot taken from phone. Super shiny sun highlighting the cloud formations over the blues and greens of otago harbour.,Alex La Roche,amateur,Adult Amateur,
000160.jpg,,An International jumbo jet leaving a wonderful straight Vapor trail across dunedin's evening skies. Brightly Contrasting the curves of the moon.,Alex La Roche,amateur,Adult Amateur,
000161.jpg,,"Winter's dawn over Cromwell<br /> <br /> At dawn the sun is low on the horizon and so light from the sun has to pass through more air than during the rest of the day. More air means there are more molecules the light has to travel through and these scatter the blue and violet light away from the eyes, leaving the yellow, oranges and reds to greet your eyes.<br /> <br /> Because red has the longest wavelength of any visible light, its extremely long path through the atmosphere blocks all the other colours and so  the sun is red when it’s on the horizon.",Hugh Morgan Derham,amateur,Adult Amateur,
000162.jpg,,"Dunedin Botanical Gardens; early June.  As autumn turns to winter, the process of abscission nears completion.  Photosynthesis (the process of converting light energy to chemical energy, making the leaves green and emitting oxygen into the air that we breath) has slowed down, causing the leaves of deciduous trees to change their colour with stunning results.  Finally, the leaves separate from the tree and fall to earth (abscission).",David Butterfield,amateur,Adult Amateur,
000163.jpg,,Sunset at Karon Beach Thailand. Sunlight filtering through a gap in the gathering storm clouds with light reflecting off the ocean and clouds. Light beams of refraction are seen radiating from the sun through the clouds. This photo was taken at twilight with the horizon lit by light in the west. ,Jenny Harris,amateur,Adult Amateur,
000164.jpg,,"Light reflecting off building storm clouds in the east before a sunset along the road between Clutha Valley and Balclutha. The bright fire like display, reflecting onto pasture, lasted only five minutes in the east before fading. The vivid reds, oranges and yellows were concentrated low on the horizon in a direct line with the setting sun in the west.",Jenny Harris,amateur,Adult Amateur,
000165.jpg,,The Earnslaw heads out into some sweet firey burn-off one Summer day on Lake Wakatipu. Heading to Walter Peak Station on one of her many journeys during the day,Jane Guy,amateur,Adult Amateur,
000166.jpg,,A strange afternoon of freezing frosty fog mixed with sparkling sunshine here in Queenstown. Say that after 3 gin and tonics!,Jane Guy,amateur,Adult Amateur,
000167.jpg,,Wondering if we can make the next location before the weather packs in. Hut hopping down the beautiful South Island on the Te Araroa trail.,Natasha A Austin,amateur,Adult Amateur,
000168.jpg,,On the straight and narrow. Walking along the valley floor before heading for the hills. A rainy day before the rain.,Natasha A Austin,amateur,Adult Amateur,
000169.jpg,,Looking back at a meandering river through the South Island wilderness. Left alone the rivers will take their own course through the land.,Natasha A Austin,amateur,Adult Amateur,
000170.jpeg,,My picture shows earth space and weather by caputuring the beautiful sunrise over Karitane and in the background you can see Matanaka which is a local landmark from waikouaiti ,Hannah Anderson ,youth winner,Youth,Best Sunset
000171.jpg,,"The light shines through the clouds and is refracted off the ocean below, bouncing back through the clouds. This makes it look like the clouds are bouncing the light back.",Harry Hamilton,youth,Youth,
000172.jpg,,"Earths beautiful moon 3/4s full, taken through a telescope at the Dunedin Observatory on a winters night. Big and beautiful.",Nicole Jorgensen ,amateur,Adult Amateur,
000173.jpg,,"This photo was taken whilst I was tramping the Routeburn. It shows how the earth was formed and how glaciers sculpted and carved the land beneath and around them. A glacier can drastically reshape the landscape over hundreds or even thousands of years. They erode the land surface and carry the broken rocks and soil debris far from their original places, resulting in some interesting glacial landforms.",Jabari Vink,youth,Youth,
000174.jpg,,"This photo was taken in one of the Waitomo caves, it displays some of the layers of earth and some stalactites formed over many years. Stalactites and stalagmites are formed by water dripping or flowing from fractures on the ceiling of a cave . They are the most common types of speleothems in caves.",Jabari Vink,youth,Youth,
000175.jpg,,"This photo was taken at the start of the Abel Tasman National Park. This photo shows coastal erosion and how water has started to wash the ground away from the bridge. Coastal erosion is the wearing away of land and the removal of beach or dune sediments by wave action, tidal currents, wave currents, drainage or high winds.",Jabari Vink,youth,Youth,
000176.jpeg,,The power of the sea never fails to disappoint me. The Saint Clair esplanade is forever changing. The weather at this time of year makes a real treat to get out there and take a look,Aaron McGrouther ,amateur,Adult Amateur,
000177.jpg,,"Valleys are formed through glaciation processes. Glaciation is when a shaft of ice, called a glacier, slides down a valley and carves away rock from the sides of the valley. Lake Mackenzie was created by a glacier, shown in this picture.  ",Devon Allen,youth,Youth,
000178.jpg,,Erosion is the breaking down of the earth. In this picture you can see the rocks on the beach and the cliffs that have been affected by natural wind and water erosion. Stewart Island is susceptible to erosion as it is an island with rocky moraine cliffs ,Devon Allen,youth,Youth,
000179.JPG,,"In front of Scott base, Antarctica , the ice shelf meets the sea ice. The sea ice is frozen in place however the ice shelf continues to move. This moving ice puts pressure on the frozen sea ice. Eventually, the sea ice will break pushing the ice upwards in an effort to reduce the pressure coming from the ice shelf. This results in pressure ridges, which continue to change as the ice shelf pushes more of the sea ice upwards. Here is one particular structure of the pressure ridge where the sea ice has overlapped and a significant section of ice has been pushed upwards.",Emma Douma,amateur,Adult Amateur,
000180.JPG,,"An ice sheet will move down the land toward the ocean, much like a river. Once the sheet has reached the ocean an ice shelf is formed. This is the section of the ice sheet floating on the water. As the water melts some of the ice away from the bottom of the ice shelf, the integrity of the shelf is compromised and 'small' sections will break off. These are known as ice bergs. In winter the top layer of the ocean will freeze, creating a layer of sea ice. This will capture anything in its path and here we can see an iceberg that got caught during the freezing process. It is now trapped in the sea ice where it will remain until the ice melts or the currents push it free.",Emma Douma,amateur,Adult Amateur,
000181.JPG,,"When an ice shelf encounters sea ice there will be a build up of pressure. The ice shelf is being pushed further out into the water by the flowing ice sheet behind it, while the sea ice in front of it tries to block its path. As the sea ice is much thinner than the ice shelf, the sea ice will break under the pressure and be forced upwards into a formation known as pressure ridges. Seals can take advantage of these structures as there will be a hole available for them to enter and exit the water. Here we have one such seal enjoying some hard earned sunshine before her next forage. Most seals will give birth near these structures where there are less predators (the holes in the ice are not big enough for a whale to use).",Emma Douma,amateur,Adult Amateur,
000182.jpeg,,photo of the sunset in the spring after a very hot day i thought the blossoms really stood out with the sun behind.<br /> ,Sophie muir,youth,Youth,
000183.jpeg,,Thought this was an awesome sunset photo with the moon really standing out in the backround and love the colours of the sky ,Sophie muir,youth,Youth,
000184.jpg,,I got board one day so i took some pics of my cat and made a collage of her but i can take amazing photos of anything,adam morton,youth,Youth,
000185.jpg,,"Uncertainty leads each moment.<br /> <br /> Southern light collides with silver halides, gathering an image beyond vision.<br /> <br /> This pictorial representation of time remains unstable and moving.<br /> <br /> This image was made with light collected from our local star, on black and white photographic paper. Light reflected, refracted and filtered, some moved by solar winds, between 2013 and 2016, on Rakiura (Stewart Island).",Lisa Benson,pro winner,Adult Professional,"Third Place, Professionals"
000186.jpg,,My first photo is of the sun over a tree in a winter scene. Earth picture in Yosemite National Park. The sun is shining through the trees in the early morning.,Isabel Gallagher,youth,Youth,
000187.jpg,,My second photo is of a large rock in Zion national park on a freezing day. The sun is just beside the rock and is peeking through. Earth rock grouping.,Isabel Gallagher,youth,Youth,
000188.jpg,,My last photo was taken at the Grand Canyon Arizona. The colour changes in the rock over time so it has many layers of colour. Earth picture of rock colour and a natural wonder.,Isabel Gallagher,youth,Youth,
000189.jpg,,"The picture it illustrates the theme of earth.<br /> It scientific shows the wave and shells, the environment.<br /> How blue the water and the sky is. The sun bright, hot sunny day. How environment is different to place were there is factory. This was taken at Stewart Island, where there no factory. The air, environment and weather. It show a different side of the earth that we are all use to.",Johnny Nguyen,youth,Youth,
000190.jpg,,The picture it illustrates the theme of earth.<br /> It shows how the environment and the water is so clean clear at Stewart Island. It shows how the environment is different to different places.  The color of the lake and sky reflect. It gives this rich blue color. How remarkable the place is so natural and beautiful without the factory and smoke effect the place. ,Johnny Nguyen,youth,Youth,
000191.jpg,,"The picture it illustrates the theme of earth.<br /> It shows the environment and the nature of the of the earth, the destination. The mountain, lake and plants. The environment is beautiful and lots to see, feel, smell and touch. The picture show a sunny, blue and colorful environment. It show how clear the water is, you can see the reflection of the plant in the lake.",Johnny Nguyen,youth,Youth,
000192.JPG,,In this image there are many stratocumulus's in the troposphere. There are also some cirrus clouds further back towards the light from the sun. Small parts of altocumulus clouds are visible.,Maria Wallace,youth,Youth,
000193.jpeg,,"This is a picture of a reserve in rotarua. There are hundreds of species of plants, insects and animals living in here. The whole of New Zealand use to be like this. With all the pollution we are causing, this won't exist for much longer.<br /> This is why we need to make huge changes to the way we live our life, the first is by limiting out pollution.",Callum Steele macintosh,youth,Youth,
000194.jpeg,,"This is my dog.<br /> She is 8 years old. <br /> Because of genetic modification through cross breeding, she has serious health issues. Her back is to long for her legs so she has a hunch back.<br /> She is prone to tooth infections that make her very sick and she has To get Neutered to reduce the risk of a uterus infection. <br /> My point is that this is not an ok thing to do and we are doing it to almost all our animals now. <br /> This (in my opinion) is abuse and needs to stop. <br /> It is illegal to genetically modify humans because of the effects it could have on humans. <br /> If it's not ok to do this on humans, <br /> why are animals any different?",Callum Steele macintosh,youth,Youth,
000195.jpeg,,"This is a lion. A male lion they Neutered him when he was a cup so that he would not become aggressive and go through the normal effects of growing up. <br /> We keep lions  in zoos and we take them away from our natural habitat so that we can preserve them. But keeping them in a cage for their entire life doesn't seem like preservation. <br /> Instead of moving them away from the problem, we need to move the problem away from them.",Callum Steele macintosh,youth,Youth,
000196.jpg,,"I had taken this picture when i was on a hike up at Mt. Cook heading up to Kea Point, i had shown my family it and they loved it also my art teacher recommended me to enter this competition",Leah MacDiarmid,youth,Youth,
000197.jpg,,This photo was taken outside my house on my farm just for fun as my first photo on my new iPod 5 my sister who is photographer very much likes it.,Leah MacDiarmid,youth,Youth,
000198.jpg,,"This Photo was also taken outside my house on my family farm it is of the tractor sheds, and it was taken in the middle of summer in Twizel, Canterbury ",Leah MacDiarmid,youth,Youth,
000199.jpg,,"This photo is an Earth/Space image as it shows the landscape of Allan's beach with the sun beaming into the bay creating this beautiful light, the sciences betrayed in this photo involve light, gases, reflection and temperature",Sam Snell ,youth,Youth,
000200.jpg,,"This photo relates to Earth and Space as the sun mixed with light, heat and multiple gases create this amazing light on the clouds which I captured over the top of Waikouaiti.",Sam Snell ,youth,Youth,
